@PRODUCTS,YOKOGAWA,CENTUM,,
@ID,BKEEdtOgMsg,,,
%OG0734,,W,,
%OG0735,,W,,
%OG0736,,W,,
%OG0737,,W,,
%OG0738,,W,,
%OG0739,,W,,
%OG0740,,W,,
%OG0741,,W,,
%OG0742,,W,,
%OG0743,,W,,
%OG0744,,W,,
%OG0745,,W,,
%OG0746,,W,,
%OG0747,,W,,
%OG0748,,W,,
%OG0749,,W,,
%OG0750,,W,,
%OG0751,,W,,
%OG0752,,W,,
%OG0753,,W,,
%OG0754,,W,,
%OG0755,,W,,
%OG0756,,W,,
%OG0757,,W,,
%OG0758,,W,,
%OG0759,,W,,
%OG0760,,W,,
%OG0761,,W,,
%OG0762,,W,,
%OG0763,,W,,
%OG0764,,W,,
%OG0765,,W,,
%OG0766,,W,,
%OG0767,,W,,
%OG0768,,W,,
%OG0769,,W,,
%OG0770,,W,,
%OG0771,,W,,
%OG0772,,W,,
%OG0773,,W,,
